code,cms_work_rvu,cms_status_indicator,cms_description
25078,17.25,A,Resect forarm/wrist tum 3cm>
31603,5.85,A,Emer tracheostomy ttrach
51500,10.77,A,Removal of bladder cyst
27066,10.92,A,Remove hip bone les deep
93568,0.86,A,Njx car cth nslc p-art angrp
35211,23.97,A,Rpr blvsl dir ntrathrc w/byp
94642,0.00,C,Aerosol inhalation treatment
13160,11.74,A,Sec clsr surg wnd/dehsn xtn
24071,5.56,A,Exc arm/elbow les sc 3 cm/>
21172,27.50,A,Rcnst supr-lat orb rm&lw fhd
92990,17.81,A,Revision of pulmonary valve
45119,32.64,A,Remove rectum w/reservoir
41825,1.37,A,Excision of gum lesion
94781,0.17,A,Cars/bd tst inft-12mo +30min
26372,8.78,A,Repair/graft hand tendon
60300,0.95,A,Aspir/inj thyroid cyst
57285,11.31,A,Repair paravag defect vag
00160,0.00,J,Anes px nose&sinus nos
11403,1.79,A,Exc tr-ext b9+marg 2.1-3cm
43250,2.90,A,Egd cautery tumor polyp
45381,3.47,A,Colonoscopy submucous njx
33234,7.47,A,Removal of pacemaker system
23585,13.87,A,Optx scapular fx w/int fixj
27443,11.12,A,Revision of knee joint
93296,0.00,A,Rem interrog evl pm/ids
21198,15.32,A,Reconstr lwr jaw segment
40490,1.19,A,Biopsy of lip
21080,24.43,A,Impres&prep def obt prosth
27780,2.76,A,Treatment of fibula fracture
67039,12.87,A,Laser treatment of retina
76881,0.88,A,Us compl joint r-t w/img
45905,2.29,A,Dilation of anal sphincter
31225,26.03,A,Removal of upper jaw
91132,0.51,A,Electrogastrography
27824,3.23,A,Treat lower leg fracture
92920,8.14,A,Prq trluml c angiop 1art&/br
92943,13.35,A,Prq trluml revsc ch occ ant
15830,16.68,R,Exc excessive skin abdomen
99387,2.50,N,Init pm e/m new pat 65+ yrs
22633,26.13,A,Arthrd cmbn 1ntrspc lumbar
41120,10.86,A,Partial removal of tongue
44361,2.70,A,Small bowel endoscopy/biopsy
93325,0.07,A,Doppler echo color flow mapg
15883,,,
61548,22.79,A,Removal of pituitary gland
17281,1.73,A,Dstr mal ls f/e/e/n/l/m .6-1
44188,18.87,A,Lap colostomy
93303,1.27,A,Echo transthoracic
30802,2.03,A,Ablate inf turbinate submuc
88331,1.16,A,Path consltj surg 1 blk 1spc
28525,5.48,A,Treat toe fracture
97124,0.35,A,Massage therapy
37238,5.89,A,Open/perq place stent same
36905,8.78,A,Thrmbc/nfs dialysis circuit
22841,0.00,B,Insert spine fixation device
19357,14.47,A,Tiss xpndr plmt brst rcnstj
21246,12.60,A,Reconstruction of jaw
42330,2.20,A,Removal of salivary stone
30124,3.12,A,Removal of nose lesion
10140,1.54,A,I&d hmtma seroma/fluid collj
93000,0.17,A,Electrocardiogram complete
99344,2.87,A,Home/res vst new mod mdm 60
93308,0.52,A,Tte f-up or lmtd
38564,11.10,A,Removal abdomen lymph nodes
15835,12.67,A,Exc excessive skin buttock
15833,11.60,A,Exc excessive skin leg
43239,2.33,A,Egd biopsy single/multiple
32656,12.93,A,Thoracoscopy w/pleurectomy
31614,8.41,A,Tracheostoma revj complex
28510,1.14,A,Treatment of toe fracture
42145,9.54,A,Repair palate pharynx/uvula
87389,0.00,X,Hiv-1 ag w/hiv-1&-2 ab ag ia
88377,1.37,A,M/phmtrc alys ishquant/semiq
32681,,,
71275,1.77,A,Ct angiography chest
31360,29.16,A,Removal of larynx
10120,1.19,A,Inc&rmvl fb subq tiss smpl
26390,9.19,A,Revise hand/finger tendon
27465,20.60,A,Shortening of thigh bone
76819,0.75,A,Fetal biophys profil w/o nst
33322,23.81,A,Repair major blood vessel(s)
99211,0.18,A,Off/op est may x req phy/qhp
60252,21.46,A,Removal of thyroid
60260,17.80,A,Repeat thyroid surgery
94452,0.30,A,Hast w/i&r phys/qhp
43275,6.69,A,Ercp remove forgn body duct
29868,24.47,A,Meniscal trnspl knee w/scpe
77080,0.20,A,Dxa bone density axial
30520,6.83,A,Repair of nasal septum
65265,13.98,A,Remove foreign body from eye
57292,13.66,A,Construct vagina with graft
27613,2.16,A,Biopsy lower leg soft tissue
49566,,,
19112,3.71,A,Excise breast duct fistula
93653,14.63,A,Compre ep eval tx svt
97760,0.50,A,Orthotic mgmt&traing 1st enc
59400,37.00,A,Obstetrical care
97602,0.00,B,Wound(s) care non-selective
93287,0.44,A,Peri-px device eval & prgr
65260,12.23,A,Remove foreign body from eye
